# gapseq version: 1.4.0
# Sequence DB md5sum: ae174b5 (2025-12-01, Bacteria)
# Genome format: nucl
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
RXN-23727	transport of mannan oligosaccharides		NA									|PWY-8435|	no_seq_data	NA	 	NA	0	NA
RXN-23724	alpha-1,3-mannosidase		NA									|PWY-8435|	no_blast	NA	 	NA	0	NA
RXN-23729	endo-beta-N-acetylglucosaminidase		NA									|PWY-8436|	no_blast	NA	 	NA	0	NA
TRANS-RXN-1547	TonB-dependent manno-oligosaccharide transporter		NA									|PWY-8436|	no_seq_data	NA	 	NA	0	NA
RXN-23730	alpha-1,2-mannosidase			UniRef50_A0A382XCL8	56.805	3.87e-63	207	100	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	795777	795271	|PWY-8436|	good_blast	NA	 	NA	0	1
RXN-23731	alpha-1,3-mannosidase		NA									|PWY-8436|	no_blast	NA	 	NA	0	NA
RXN-23732	alpha-1,6-mannosidase		NA									|PWY-8436|	no_blast	NA	 	NA	0	NA
RXN-15422	6-linalyl-2-O,3-dimethylflaviolin synthase	2.5.1.124	NA									|PWY-8437|	no_blast	NA	 	NA	0	NA
RXN-23738	RXN-23738		NA									|PWY-8437|	no_seq_data	NA	 	NA	0	NA
RXN-23735	furaquinocin C hydroxylase		NA									|PWY-8437|	no_blast	NA	 	NA	0	NA
RXN-23734	furaquinocin D hydroxylase		NA									|PWY-8437|	no_blast	NA	 	NA	0	NA
RXN-23737	2-O-methylflaviolin 3-C-methyltransferase		NA									|PWY-8437|	no_blast	NA	 	NA	0	NA
RXN-23736	flaviolin 2-O-methyltransferase		NA									|PWY-8437|	no_blast	NA	 	NA	0	NA
RXN-9931	1,3,6,8-tetrahydroxynaphthalene synthase	2.3.1.233	NA	UniRef90_Q9FCA7	22.969	0.077	32.0	91	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869588	1868668	|PWY-8437|	bad_blast	NA	 	NA	0	NA
RXN-15586	THN monooxygenase		NA									|PWY-8437|	no_blast	NA	 	NA	0	NA
RXN-23745	polyketide synthase CorI		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23744	polyketide synthase CorI		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23742	corallopyronin A non-ribosomal peptide synthase/polyketide synthase CorI	6.2.1.66	NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-9376	corallopyronin A non-ribosomal peptide synthase/polyketide synthase CorI		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23741	polyketide synthase CorI		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23740	hydrogen carbonate methyltranferase		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23746	polyketide synthase CorJ		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23747	polyketide synthase CorJ		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23748	polyketide synthase CorJ		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23749	polyketide synthase CorK		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23750	polyketide synthase CorK		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23751	polyketide synthase CorK		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23754	polyketide synthase CorK		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23755	3-carboxymethyl-3-hydroxy-acyl-[acp] synthase		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23756	3-carboxymethyl-3-hydroxy-acyl-[acp] dehydratase		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23757	4-carboxy-3-alkylbut-2-enoyl-[acp] decarboxylase		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23758	polyketide synthase CorK		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23759	(3S,5E,8E)-3-hydroxy-5-methyldeca-5,8-dienoyl-[CorL PKS] dehydratase		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23760	3-carboxymethyl-3-hydroxy-acyl-[acp] synthase		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23761	3-carboxymethyl-3-hydroxy-acyl-[acp] dehydratase		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23762	4-carboxy-3-alkylbut-2-enoyl-[acp] decarboxylase		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23763	polyketide synthase CorL		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23764	polyketide synthase CorL		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_O34340	51.799	1.45e-131	414	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1321747	1320500	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_A5FV65	65.204	5.84e-130	405	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869621	1868665	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_B6IMR5	60.559	8.83e-120	376	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869627	1868668	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_A4YW84	58.204	9.92e-118	370	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869627	1868668	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_A6X1X8	53.438	1.66e-111	352	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869618	1868668	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_A5EXD7	52.812	5.20e-110	348	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869615	1868671	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_A8GD17	55.063	1.69e-103	329	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869609	1868665	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_B0UUZ0	50.473	8.02e-103	327	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869615	1868665	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_C5CSE2	52.744	3.41e-99	317	100	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869627	1868665	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_O67185	46.815	5.08e-99	316	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869609	1868668	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_A1K5Y5	53.628	8.14e-97	310	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869609	1868671	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_A1WMX5	50.610	2.97e-93	300	100	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869627	1868665	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_A7NK75	48.476	7.31e-90	290	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869627	1868668	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_A8ERJ6	42.812	1.51e-88	287	96	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869597	1868665	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_A7ZC01	43.202	9.68e-86	279	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869627	1868665	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_A6QBY0	42.767	1.76e-85	278	93	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869597	1868671	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_A0PXB6	43.218	3.77e-85	276	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869597	1868668	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_A3CQ60	44.025	1.51e-82	269	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869591	1868665	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_A6LSC2	39.875	3.79e-79	259	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869609	1868668	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_C1DCE8	52.381	1.71e-77	254	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869609	1868671	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_A8G2E1	36.810	2.32e-76	252	95	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869603	1868668	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_A4W3N0	42.295	1.19e-73	244	91	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869591	1868713	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_B1MKD7	41.975	9.91e-66	221	94	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869609	1868665	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_O07600	36.393	1.91e-62	211	93	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869618	1868719	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23765	beta-ketoacyl-[acp] synthase			UniRef90_A8YXS0	39.365	2.14e-62	211	95	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1869585	1868668	|PWY-8438|	good_blast	NA	 	NA	0	1
RXN-23766	corallopyronin A thioesterase/cyclase		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23768	pre-corallopyronin A C-24 hydroxylase		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23753	malonyl-[acp] decarboxylase		NA	UniRef90_P40804	28.806	8.37e-36	137	96	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1321738	1320494	|PWY-8438|	bad_blast	NA	 	NA	0	NA
RXN-23773	enoyl reductase CorA		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23774	polyketide synthase CorL		NA									|PWY-8438|	no_blast	NA	 	NA	0	NA
RXN-23752	[acyl-carrier-protein] S-malonyltransferase	2.3.1.39		UniRef90_O85140	44.695	2.03e-71	236	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1324118	1323186	|PWY-8438|	good_blast	NA	rxn05465 	NA	0	1
RXN-23752	[acyl-carrier-protein] S-malonyltransferase	2.3.1.39		UniRef90_P0AAI9	43.910	6.46e-71	235	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1324118	1323183	|PWY-8438|	good_blast	NA	rxn05465 	NA	0	1
RXN-12798	poly-gamma-D-glutamate synthase		NA									|PWY-8439|	no_blast	NA	 	NA	0	NA
TRANS-RXN-1550	poly-gamma-D-glutamate transporter		NA									|PWY-8439|	no_seq_data	NA	 	NA	0	NA
RXN-23852	capsular polysaccharide gamma-glutamyltranspeptidase			sp|Q51693|CAPD_BACAN	33.466	5.10e-61	214	90	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	293546	292059	|PWY-8439|	good_blast	NA	 	NA	0	1
RXN-23853	capsular polysaccharide gamma-glutamyltranspeptidase			sp|Q51693|CAPD_BACAN	33.466	5.10e-61	214	90	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	293546	292059	|PWY-8439|	good_blast	NA	 	NA	0	1
DARABALDOL-RXN	D-ribulose 1-phosphate aldolase	4.1.2.17	NA	UniRef50_P44780	26.778	8.20e-29	111	96	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1402804	1402091	|PWY-8440|	bad_blast	NA	rxn01620 	NA	0	NA
RXN-23776	alpha-D-ribose 1,5-bisphosphate 5-phosphatase	3.1.3.109	NA									|PWY-8440|	no_seq_data	NA	 	NA	0	NA
RXN0-1402	alpha-D-ribose-1-phosphate 5-kinase (ATP)	2.7.1.239	NA									|PWY-8440|	no_seq_data	NA	 	NA	0	NA
RXN0-5199	guanosine phosphorylase	2.4.2.15/2.4.2.1	NA	UniRef90_B8E181	42.692	2.03e-57	194	96	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	934545	935318	|PWY-8440|	bad_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	NA
RXN-8801	ribose 1,5-bisphosphate isomerase	5.3.1.29		sp|Q51693|CAPD_BACAN	33.466	5.10e-61	214	90	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	293546	292059	|PWY-8440|	good_blast	NA	 	NA	0	1
GLYCOLALDREDUCT-RXN	glycolaldehyde reductase	1.1.1.77	NA	UniRef90_P0A9S1	20.861	2.55e-07	49.7	76	NZ_CP011121.1 Acetobacter oryzifermentans strain SLV-7 plasmid unnamed1, complete sequence	83647	82772	|PWY-8440|	bad_blast	NA	rxn01305 rxn01615 rxn02209 rxn15317 	NA	0	NA
RXN0-5298	L-fucose mutarotase	5.1.3.29	NA									|PWY-8444|	spontaneous	NA	 	NA	0	NA
RXN-22637	L-fucose 1-dehydrogenase	1.1.1.435	NA	UniRef90_A0A0H3KNE7	31.298	3.33e-17	77.8	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2203702	2202968	|PWY-8444|	bad_blast	NA	 	NA	0	NA
RXN-22640	L-fucono-1,5-lactonase	3.1.1.120	NA									|PWY-8444|	no_blast	NA	 	NA	0	NA
L-FUCONATE-HYDRATASE-RXN	L-fuconate dehydratase	4.2.1.68	NA									|PWY-8444|	no_blast	NA	rxn02617 rxn20004 	NA	0	NA
RXN-23808	2-dehydro-3-deoxy-L-fuconate aldolase		NA									|PWY-8444|	no_seq_data	NA	 	NA	0	NA
RXN-23265	puerarin 3-dehydrogenase		NA									|PWY-8445|	no_blast	NA	 	NA	0	NA
RXN-23264	3"-dehydropuerarin lyase		NA									|PWY-8445|	no_blast	NA	 	NA	0	NA
RXN-23263	C-glycoside oxidase	1.1.3.50	NA									|PWY-8446|	no_blast	NA	 	NA	0	NA
RXN-23266	3'-dehydrocarminate lyase		NA									|PWY-8446|	no_seq_data	NA	 	NA	0	NA
D-ALANINE-AMINOTRANSFERASE-RXN	D-alanine aminotransferase	2.6.1.21/2.6.1.10	NA	UniRef90_P54693	28.899	1.49e-19	85.5	75	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2146691	2146056	|PWY-8448|	bad_blast	NA	rxn00849 rxn01156 rxn03426 rxn05982 rxn06168 rxn06264 rxn06281 rxn06302 rxn11943 rxn11968 	NA	0	NA
RXN-22790	N-(1-deoxy-D-fructos-1-yl)-L-glutamine synthase		NA									|PWY-8449|	spontaneous	NA	 	NA	0	NA
RXN-23843	mannopine synthase		NA									|PWY-8449|	no_blast	NA	 	NA	0	NA
RXN-23844	agropine synthase		NA									|PWY-8449|	no_blast	NA	 	NA	0	NA
RXN-14408	RXN-14408		NA									|PWY-8449|	spontaneous	NA	 	NA	0	NA
D-LYSOPINE-DEHYDROGENASE-RXN	D-lysopine synthase	1.5.1.16	NA									|PWY-8450|	no_blast	NA	rxn00314 	NA	0	NA
1.5.1.11-RXN	D-octopine synthase	1.5.1.11	NA									|PWY-8450|	no_blast	NA	rxn00402 rxn19376 	NA	0	NA
RXN-14860	sulfonopine synthase		NA									|PWY-8450|	no_blast	NA	 	NA	0	NA
RXN-14880	ornaline synthase		NA									|PWY-8451|	no_blast	NA	 	NA	0	NA
1.5.1.19-RXN	D-nopaline synthase	1.5.1.19	NA									|PWY-8451|	no_blast	NA	rxn00403 rxn19374 	NA	0	NA
RXN-761	ADP-glucose:D-glucose-6-phosphate 1-alpha-D-glucosyltransferase	2.4.1.347		UniRef90_A1TFL3	33.954	1.22e-65	227	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	257496	258836	|PWY-881|	good_blast	NA	 	NA	0	1
TREHALOSEPHOSPHA-RXN	trehalose-6-phosphate phosphatase	3.1.3.12	NA	UniRef90_P31678	37.615	1.72e-35	131	81	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	256806	257435	|PWY-881|	bad_blast	NA	rxn02004 rxn26560 rxn26561 rxn26562 rxn26563 rxn26564 	NA	0	NA
RXN8J2-3	bacillithiol synthase		NA									|PWY8J2-1|	no_blast	NA	 	NA	0	NA
RXN8J2-2	(S)-malyl N-acetyl-alpha-D-glucosaminide deacetylase		NA									|PWY8J2-1|	no_blast	NA	 	NA	0	NA
RXN8J2-1	L-malate glycosyltransferase		NA	UniRef50_A0A381PFW9	24.161	6.18e-13	67.0	81	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2173373	2174233	|PWY8J2-1|	bad_blast	NA	 	NA	0	NA
RXN8J2-80	cyclodipeptide synthase	2.3.2.22	NA									|PWY8J2-20|	no_blast	NA	 	NA	0	NA
RXN-14312	pulcherriminic acid synthase	1.14.15.13	NA									|PWY8J2-20|	no_blast	NA	 	NA	0	NA
RXN-14311	RXN-14311		NA									|PWY8J2-20|	spontaneous	NA	 	NA	0	NA
RXN8J2-138	kanosamine-6-phosphate phosphatase	3.1.3.92	NA									|PWY8J2-22|	no_blast	NA	 	NA	0	NA
RXN8J2-137	3-oxo-glucose-6-phosphate:glutamate aminotransferase	2.6.1.104	NA	UniRef90_O07566	29.592	4.59e-44	162	85	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	111783	112913	|PWY8J2-22|	bad_blast	NA	 	NA	0	NA
RXN8J2-136	glucose-6-phosphate 3-dehydrogenase	1.1.1.361	NA									|PWY8J2-22|	no_blast	NA	 	NA	0	NA
RXN8J2-152	N-acetyl-S-(2-succinyl)-L-cysteine monooxygenase		NA									|PWY8J2-25|	no_blast	NA	 	NA	0	NA
RXN8J2-151	S-(2-succino)cysteine N-acetyltransferase		NA									|PWY8J2-25|	no_blast	NA	 	NA	0	NA
RXN-22606	RXN-22606		NA									|PWY8J2-25|	spontaneous	NA	 	NA	0	NA
RXN-22642	N-acetyl-L-cysteine deacetylase		NA									|PWY8J2-25|	no_blast	NA	 	NA	0	NA
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9	NA									|PWY-922|	no_blast	NA	rxn00178 rxn00874 rxn23003 	NA	0	NA
HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN	hydroxymethylglutaryl-CoA synthase	2.3.3.10/4.1.3.5	NA									|PWY-922|	no_blast	NA	rxn01454 	NA	0	NA
1.1.1.34-RXN	3-hydroxy-3-methylglutaryl-coenzyme A reductase	1.1.1.34	NA									|PWY-922|	no_blast	NA	rxn01501 	NA	0	NA
MEVALONATE-KINASE-RXN	mevalonate kinase	2.7.1.36	NA	UniRef50_A0A1E7XAE3	21.642	1.4	27.7	77	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	806950	806207	|PWY-922|	bad_blast	NA	rxn01607 	NA	0	NA
PHOSPHOMEVALONATE-KINASE-RXN	phosphomevalonate kinase	2.7.4.2	NA									|PWY-922|	no_blast	NA	rxn02322 	NA	0	NA
DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN	diphosphomevalonate decarboxylase	4.1.1.33	NA	UniRef50_A0A2S3U605	29.787	4.1	21.2	82	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2375436	2375296	|PWY-922|	bad_blast	NA	rxn00829 	NA	0	NA
IPPISOM-RXN	isopentenyl diphosphate isomerase	5.3.3.2	NA	UniRef90_Q81SX4	22.772	1.3	27.7	80	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2191665	2190889	|PWY-922|	bad_blast	NA	rxn00830 rxn13773 	NA	0	NA
RXN1G-368	3-oxoicosanoyl-[acyl carrier protein] synthase	2.3.1.41		UniRef90_P43710	40.431	9.88e-73	244	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1321744	1320500	|PWYG-321|	good_blast	NA	rxn05343 rxn05344 rxn05345 rxn05346 rxn05347 rxn05348 rxn05350 rxn06238 rxn07576 rxn07997 rxn07998 rxn08000 rxn08001 rxn08002 rxn13666 rxn13667 rxn13668 rxn13669 rxn13671 rxn13672 rxn13673 rxn13674 rxn13676 rxn13677 rxn17770 rxn21008 rxn21012 rxn21860 rxn25647 rxn25716 rxn25737 rxn25738 rxn25739 rxn25740 rxn25741 rxn25742 rxn26532 rxn26556 rxn26559 rxn26591 rxn26593 rxn26599 rxn26619 rxn26625 rxn26660 rxn26706 rxn27545 rxn27546 rxn27984 rxn37966 rxn38289 rxn38294 rxn38335 rxn38493 rxn38500 rxn38506 rxn38544 rxn38557 rxn38559 rxn38584 rxn38585 rxn38593 rxn38606 rxn38607 rxn38629 rxn38655 	NA	0	1
RXN1G-368	3-oxoicosanoyl-[acyl carrier protein] synthase	2.3.1.41		UniRef90_Q02K94	40.000	3.45e-69	234	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1321744	1320500	|PWYG-321|	good_blast	NA	rxn05343 rxn05344 rxn05345 rxn05346 rxn05347 rxn05348 rxn05350 rxn06238 rxn07576 rxn07997 rxn07998 rxn08000 rxn08001 rxn08002 rxn13666 rxn13667 rxn13668 rxn13669 rxn13671 rxn13672 rxn13673 rxn13674 rxn13676 rxn13677 rxn17770 rxn21008 rxn21012 rxn21860 rxn25647 rxn25716 rxn25737 rxn25738 rxn25739 rxn25740 rxn25741 rxn25742 rxn26532 rxn26556 rxn26559 rxn26591 rxn26593 rxn26599 rxn26619 rxn26625 rxn26660 rxn26706 rxn27545 rxn27546 rxn27984 rxn37966 rxn38289 rxn38294 rxn38335 rxn38493 rxn38500 rxn38506 rxn38544 rxn38557 rxn38559 rxn38584 rxn38585 rxn38593 rxn38606 rxn38607 rxn38629 rxn38655 	NA	0	1
RXN1G-349	3-oxoicosanoyl-[acp] reductase	1.1.1.100		UniRef90_P43713	52.049	3.16e-76	247	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1323142	1322414	|PWYG-321|	good_blast	NA	rxn05336 rxn05337 rxn05338 rxn05339 rxn05340 rxn05341 rxn05342 rxn06237 rxn07577 rxn07987 rxn07989 rxn07991 rxn07992 rxn07993 rxn07994 rxn21009 rxn21013 rxn21857 rxn21861 rxn23280 rxn23297 rxn23310 rxn25637 rxn25641 rxn25649 rxn25657 rxn25661 rxn25718 rxn26006 rxn26535 rxn26536 rxn26552 rxn26570 rxn26571 rxn26580 rxn26581 rxn26588 rxn26594 rxn26596 rxn26600 rxn26601 rxn26607 rxn26632 rxn26635 rxn26643 rxn26647 rxn26648 rxn26668 rxn26685 rxn26686 rxn26687 rxn26695 rxn26696 rxn26707 rxn26711 rxn26723 rxn28224 rxn37627 rxn37628 rxn37724 rxn37725 rxn38495 	NA	0	1
RXN1G-349	3-oxoicosanoyl-[acp] reductase	1.1.1.100		UniRef90_O54438	52.191	7.77e-70	229	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1323148	1322414	|PWYG-321|	good_blast	NA	rxn05336 rxn05337 rxn05338 rxn05339 rxn05340 rxn05341 rxn05342 rxn06237 rxn07577 rxn07987 rxn07989 rxn07991 rxn07992 rxn07993 rxn07994 rxn21009 rxn21013 rxn21857 rxn21861 rxn23280 rxn23297 rxn23310 rxn25637 rxn25641 rxn25649 rxn25657 rxn25661 rxn25718 rxn26006 rxn26535 rxn26536 rxn26552 rxn26570 rxn26571 rxn26580 rxn26581 rxn26588 rxn26594 rxn26596 rxn26600 rxn26601 rxn26607 rxn26632 rxn26635 rxn26643 rxn26647 rxn26648 rxn26668 rxn26685 rxn26686 rxn26687 rxn26695 rxn26696 rxn26707 rxn26711 rxn26723 rxn28224 rxn37627 rxn37628 rxn37724 rxn37725 rxn38495 	NA	0	1
RXN1G-320	(3R)-3-hydroxyicosanoyl-[acyl-carrier protein] dehydratase	4.2.1.59/4.2.1.58/4.2.1.60/4.2.1.61		UniRef90_Q0BTL1	66.667	1.69e-61	202	83	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	779392	779814	|PWYG-321|	good_blast	NA	rxn05329 rxn05330 rxn05332 rxn05333 rxn05334 rxn05335 rxn06688 rxn06698 rxn07976 rxn07977 rxn07978 rxn07979 rxn07980 rxn07981 rxn18935 rxn18936 rxn18937 rxn19686 rxn21010 rxn21014 rxn21858 rxn21862 rxn25662 rxn25719 rxn26007 rxn38098 	NA	0	1
RXN1G-395	trans-eicos-2-enoyl-[acyl-carrier protein] reductase (NADPH, B-specific)	1.3.1.9		UniRef90_O24990	54.150	1.06e-90	290	92	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1299455	1300213	|PWYG-321|	good_blast	NA	rxn05322 rxn05323 rxn05324 rxn05325 rxn05326 rxn05327 rxn05328 rxn05994 rxn07579 rxn08386 rxn08390 rxn08392 rxn08394 rxn08396 rxn08398 rxn19651 rxn25720 rxn25743 rxn25747 rxn25750 rxn25752 rxn37651 	NA	0	1
